"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"plxna2",139.862592839604,8,0,0,1.18798611971492
"atf3",139.5978640257,8,0,0,1.30744384393806
"rbpms2b",139.132159553718,8,0,0,1.49487954634029
"GNAZ",139.045562746751,8,0,0,5.55911651649447
"ablim2",138.32207088361,8,0,0,1.5630350960839
"nr5a2",137.980380046507,8,0,0,0.526617635474342
"ctdp1",137.696260937549,8,0,0,0.47186125810756
"pdlim2",137.509740810905,8,0,0,1.93135187553469
"coro2bb",137.244822008472,8,0,0,3.57003589564154
"kif4",137.169301209243,8,0,0,1.08953280767503
"ccnf",137.013654507048,8,0,0,1.59503525593098
"etv1",136.914651831699,8,0,0,1.9913768513921
"mtss1la",136.703688678474,8,0,0,0.851202137977583
"si:ch211-107n13.1",136.658253834476,8,0,0,1.03993696162422
"shmt1",136.456444428528,8,0,0,0.701967399380821
"metrnla",136.333101578261,8,0,0,0.532808126037467
"thbs1b",136.103141600362,8,0,0,0.752021161784887
"si:ch1073-268j14.1",135.814369456147,8,0,0,0.913760545440087
"rgs5b",135.605091679178,8,0,0,1.54791026729434
"phgdh",135.56507027633,8,0,0,1.67741128284518
"pcnx1",135.340629562532,8,0,0,1.11462086657701
"hist2h2l",134.990345738934,8,0,0,0.620030188192553
"itga4",134.377551078775,8,0,0,0.616122830901909
"ephb1",133.971669908048,8,0,0,3.31544738648513
"eif4e1c",133.630287773939,8,0,0,0.50949811683515
"ripor1",133.621486880766,8,0,0,0.388114567208557
"ccn1",133.60454878268,8,0,0,0.58942024979619
"birc5a",133.003205983154,8,0,0,1.1135296420763
"atad5a",132.989545436144,8,0,0,0.73719151190038
"ccnb3",132.975833716962,8,0,0,1.26804393806322
"tomm20a",132.944782297034,8,0,0,0.540174082707519
